sequence,count,length
assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill,1,11
privateNotePackage -> importStationByDistributer -> distributorCfmReturning,1,3
privateNotePackage -> distributorCfmDeliver -> distributorCfmDeliver -> distributorCfmDeliver,1,4
assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking,1,22
verifySessionPackage -> distributorCfmDeliver -> cfmTransit -> TransferToBothBill,1,4
changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changePackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changePackageStatus -> changeCodForPackagesInCart -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,38
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> verifySessionBags -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,1,31
changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changePackageStatus -> changeCodForPackagesInCart,1,13
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> updatePickedByCod -> distributorCfmReturning -> importStationByDistributer,1,9
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus,1,24
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking,1,14
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking,1,14
assignCodPicking -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,1,13
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> distributorCfmReturning -> takeReturningPackages -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,9
verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver -> distributorCfmDeliver,1,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking,1,19
changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> cfmTransit -> TransferToBothBill -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,1,8
assignCodPicking -> verifySessionPackage -> verifySessionPackage -> smartScaleScanningPackage -> distributorCfmReturning -> importStationByDistributer -> updateTmpReturningStatus -> delayReturnPackageReason -> updateTmpReturningStatus,1,9
assignCodPicking -> assignCodPicking -> assignCodPicking -> smartScaleScanningPackage -> verifySessionPackage -> changeComingReturnCodAction -> changeComingReturnCod -> smartScaleScanningPackage -> importStationByDistributer -> distributorCfmReturning,1,10
distributorCfmDeliver -> updateDeliverCod -> editPackage -> distributorCfmDeliver -> updateDeliverCod -> editPackage,1,6
assignCodPicking -> assignCodPicking -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> smartScaleScanningPackage -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,12
privateNotePackage -> distributorCfmDeliver -> privateNotePackage -> updateDeliverWorkShiftPackage -> privateNotePackage -> distributorCfmDeliver,1,6
verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,18
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,19
confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,11
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> cfmTransit -> TransferToBothBill,1,24
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod,1,20
privateNotePackage -> NVBCTakeAPhotoDelivery -> distributorCfmDeliver -> putInBox -> updateDelayDeliveringByCod -> RefundBill -> confirmTmpDeliveredPackageStatus,1,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus,1,25
changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus,1,33
confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill -> confirmTmpPickedPackageStatus,1,8
assignCodPicking -> verifySessionPackage -> verifySessionPackage -> putPackages2Bag -> putInBox,1,5
confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,1,18
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus,1,33
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,1,27
distributorCfmDeliver -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,6
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> changeCodForPackagesInCart,1,12
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,1,11
changePackageStatus -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> changeCodForPackagesInCart -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus,1,37
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod,1,16
updateDeliverWorkshiftByCod -> distributorCfmDeliver -> privateNotePackage -> cfmTransit -> TransferToBothBill,1,5
PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus,1,44
assignCodPicking -> ArrivePickingPoint -> updateTmpPickingStatus -> autoReassignDateDeliver -> delayPickPackageReason -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,1,8
assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> PickupCrossProvinceBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill,1,9
updateDeliverWorkshiftByCod -> editPackage -> updateDeliverCod -> updateNotDeliveredByCod -> confirmTmpDeliveredPackageStatus -> RefundBill,1,6
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> importStationByDistributer -> distributorCfmReturning,1,9
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> putInBox -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill -> confirmTmpPickedPackageStatus,1,9
assignCodPicking -> cfmTransit -> TransferToBothBill -> confirmTmpReturnedPackageStatus -> ReturnBill -> updateReturnedByCod,1,6
changeCodForPackagesInCart -> changePackageStatus -> changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,38
putPackages2Bag -> takeOutPackages2Bag -> privateNotePackage,1,3
updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod,1,20
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> verifySessionPackage -> ScanPackageToBag,1,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod,1,16
changePackageStatus -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus,1,36
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> cfmTransit -> TransferToBothBill,1,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill -> importStationByDistributer -> distributorCfmReturning,1,13
verifySessionPackage -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> distributorCfmDeliver -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> distributorCfmDeliver -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill,1,12
changePackageStatus -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changePackageStatus -> changeCodForPackagesInCart,1,13
assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,1,15
changeComingReturnCod -> changeComingReturnCodAction -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> smartScaleScanningPackage -> distributorCfmReturning -> importStationByDistributer,1,8
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> printfPackage -> smartScaleScanningPackage -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,1,35
assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> verifySessionBags -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,19
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> privateNotePackage -> distributorCfmReturning -> importStationByDistributer,1,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> updatePickedByCod -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> distributorCfmReturning -> importStationByDistributer,1,11
changePackageStatus -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changePackageStatus -> changeCodForPackagesInCart,1,17
putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> PickupBill -> updatePickedByCod -> distributorCfmReturning -> importStationByDistributer -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,10
changePackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> assignCodPicking -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,1,26
confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> distributorCfmDeliver -> RefundBill -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> distributorCfmDeliver -> updateNotDeliveredByCod -> confirmTmpDeliveredPackageStatus -> RefundBill -> privateNotePackage,1,12
updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,1,26
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,1,26
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changeCodForPackagesInCart -> changePackageStatus -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,1,26
RefundBill -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> changeComingReturnCod -> changeComingReturnCodAction -> smartScaleScanningPackage -> importStationByDistributer -> distributorCfmReturning -> ReturnBill -> confirmTmpReturnedPackageStatus -> updateReturnedByCod,1,11
changeCodForPackagesInCart -> changePackageStatus -> changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> changeCodForPackagesInCart -> assignCodPicking -> changeCodForPackagesInCart -> changePackageStatus -> changeCodForPackagesInCart -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> changePackageStatus -> ArrivePickingPoint -> changeCodForPackagesInCart -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus -> changeCodForPackagesInCart -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod -> changeCodForPackagesInCart -> changePackageStatus,1,35
