count,from_action,to_action
9,updateDeliverCod,confirmTmpDeliveredPackageStatus
9,assignCodPicking,changePickCod
9,privateNotePackage,distributorCfmReturning
9,smartScaleScanningPackage,updateTmpReturningStatus
9,putPackages2Bag,importStationByDistributer
9,verifySessionPackage,importStationByDistributer
9,changeTransferStationByChangeCart,changeAlias
9,privateNotePackage,verifySessionPackage
9,cfmTransit,putPackageIntoRc
9,cfmImpPkgFrPONew,PkBusCheckinPackage
9,TransferToBothBill,smartScaleScanningPackage
9,DteamTakeAPhotoDeliver,updateTmpDeliveringStatus
9,updateNotPickedByCod,confirmTmpPickedPackageStatus
9,putPackages2TmpBag,smartScaleScanningPackage
9,privateNotePackage,confirmTmpDeliveredPackageStatus
9,changeAttributeForSurplus,distributorCfmDeliver
9,distributorCfmReturning,updateDelayReturningByCod
9,putInBox,distributorCfmDeliver
9,NVBCConfirmImageWorkshift,updateDelayDeliveringByCod
9,changePackageStatus,approvedPackage
9,updateDelayPickingByCod,updatePickedByCod
9,cfmDonePrepaymnet,PrepaymentBill
9,updateDelayDeliveringByCod,ScanPackageToBag
8,editPackage,changeCurStation
8,smartScaleScanningPackage,scanBox
8,importStationByDistributer,updateDelayReturningByCod
8,changeDelieverCartId,changeCustomerFirstAddress
8,updateDeliverWorkShiftPackage,reassignDeliverCart
8,updatePickedByCod,ScanPackageToBag
8,changeCart,changeTransferStationByChangeCart
8,verifySessionPackage,delayReturnPackageReason
8,putPackages2TmpBag,changeTrfSorting
8,ScanPackageToBag,NVBC_CONFIRM_XTEAM_REPORT_CUSTOMER
8,ScanPackageToBag,ReturnBill
8,changeCurStationBagSurplus,distributorCfmDeliver
8,NVBCConfirmImageWorkshift,confirmTmpDeliveredPackageStatus
8,verifySessionPackage,confirmTmpDeliveredPackageStatus
8,PrepaymentBill,cfmDonePrepaymnet
8,ScanPackageToBag,confirmTmpReturnedPackageStatus
8,delayReturnPackageReason,confirmTmpDelayReturningPackageStatus
8,printfPackage,confirmPackageHandover
8,smartScaleScanningPackage,TakeAPhotoReturnRequest
8,putPackageIntoRc,TransferToBothBill
8,changeCart,approvedPackage
8,putPackages2Bag,changeTrfSorting
8,printfPackage,putPackages2Bag
7,assignCodPicking,putInBox
7,assignBagWithIdentifyBag,assignBagWithIdentifyBag
7,privateNotePackage,scanBox
7,printfPackage,PickupBill
7,PickupCrossProvinceBill,ReturnBill
7,checkPackageBBS,privateNotePackage
7,printfPackage,distributorCfmDeliver
7,changeTransferStation,changeDelieverCartId
7,changeCart,changeAlias
7,RefundBill,changePackageStatus
7,distributorCfmReturning,verifySessionPackage
7,smartScaleScanningPackage,takeOutPackages2Bag
7,printfPackage,cfmTransit
7,updateDelayPickingByCod,cfmTransit
7,changeCodForPackagesInCart,updateReturnedByCod
7,PickupBill,printfPackage
7,putInBox,smartScaleScanningPackage
7,changeCustomerFirstAddress,changeTransferStation
6,updatePickAddressCart,updatePickAddressCart
6,editPackage,changeCustomerLastAddress
6,editPackage,verifySessionPackage
6,changeCart,changePackageStatus
6,printfPackage,PickupCrossProvinceBill
6,assignCodPicking,PkBusReportMissingPackage
6,editPackage,editPackage
6,PickupCrossProvinceBill,scanBox
6,importStationByDistributer,verifySessionPackage
6,confirmTmpPickedPackageStatus,TransferToBothBill
6,updateDelayReturningByCod,verifySessionPackage
6,changePackageStatus,ReturnBill
6,assignCodPicking,confirmTmpDelayReturningPackageStatus
6,changeTrfSorting,putPackages2TmpBag
6,changeCustomerFirstAddress,changeDelieverCartId
6,updateStationReturnCart,updateReturnCart
6,saveIsfrageImages,updateReturnedByCod
6,privateNotePackage,confirmPackageHandover
6,ScanPackageToBag,confirmTmpDeliveredPackageStatus
6,printfPackage,updateReinforcedPackages
6,PickupBill,saveIsfrageImages
6,privateNotePackage,confirmIssueHandovers
6,printfPackage,confirmTmpPickedPackageStatus
6,printfPackage,assignCodPicking
6,editPackage,printfPackage
6,distributorCfmReturning,delayReturnPackageReason
6,cfmDonePrepaymnet,cfmImpPkgFrPONew
5,privateNotePackage,smartScaleScanningPackage
5,verifySessionPackage,cfmTransit
5,changeAlias,editPackage
5,changeComingReturnCodAction,verifySessionPackage
5,smartScaleScanningPackage,PickupCrossProvinceBill
5,smartScaleScanningPackage,PkBusCheckinPackage
5,smartScaleScanningPackage,verifySessionBags
5,NVBCConfirmImageWorkshift,RefundBill
5,editPackage,smartScaleScanningPackage
5,printfPackage,distributorCfmReturning
5,distributorCfmDeliver,BlurredBarcode
5,assignCodPicking,scanPackageCreateBagB2C
5,cfmDonePrepaymnet,printfPackage
5,saveRealImportStation,PickupBill
5,changeTrfSorting,assignBagWithIdentifyBag
5,privateNotePackage,updateDelayDeliveringByCod
5,distributorCfmDeliver,NVBCConfirmImageWorkshift
5,confirmIssueHandovers,distributorCfmDeliver
5,changeComingReturnCod,verifySessionPackage
5,ScanPackageToBag,updateReturnedByCod
5,distributorCfmReturning,printfPackage
5,changeDelieverCartId,printfPackage
5,editPackage,RefundBill
5,changeTrfSorting,putPackages2Bag
5,ScanPackageToBag,RefundBill
5,confirmTmpDelayReturningPackageStatus,verifySessionPackage
5,updateDeliverCod,RefundBill
5,updateReturnCart,updateStationReturnCart
5,assignCodPicking,changePickCodAction
5,changeCustomerFirstAddress,editPackage
5,editPackage,changeTransferStation
5,editPackage,changeDelieverCartId
5,updateDeliverAddressCart,approvedPackage
5,privateNotePackage,changePackageStatus
5,TakeAPhotoDeliveringTiktokPackage,DteamTakeAPhotoDeliver
5,updateDeliverWorkShiftPackage,distributorCfmDeliver
4,PickupBill,distributorCfmDeliver
4,smartScaleScanningPackage,requestHandOverPackages
4,updateDelayPickingByCod,smartScaleScanningPackage
4,NVBCTakeAPhotoDelivery,updateDeliverWorkshiftByCod
4,smartScaleScanningPackage,TakeAPhotoPicked
4,changeCustomerLastAddress,changeTransferStation
4,requestHandOverPackages,distributorCfmDeliver
4,privateNotePackage,RefundBill
4,changeCurStation,editPackage
4,ArrivePickingPoint,PickupBill
4,updateDeliverCod,ArriveDeliveringPoint
4,privateNotePackage,saveIsfrageImages
4,editPackage,confirmTmpDeliveredPackageStatus
4,confirmBigSizeQuantity,cfmImpPkgFrPONew
4,distributorCfmDeliver,TransferToBothBill
4,DteamTakeAPhotoDeliver,DteamTakeAPhotoDeliver
4,changeTransferStation,changeCustomerFirstAddress
4,saveIsfrageImages,confirmTmpReturnedPackageStatus
4,confirmTmpPickedPackageStatus,printfPackage
4,PkBusReportMissingPackage,verifySessionPackage
4,TransferToBothBill,printfPackage
4,privateNotePackage,putInBox
4,updatePickWorkShiftPackage,updatePickWorkShiftPackage
4,updateReinforcedPackages,cfmImpPkgFrPONew
4,confirmTmpDeliveredPackageStatus,cfmTransit
4,cfmTransit,importStationByDistributer
4,NVBCTakeAPhotoDelivery,checkPackageSealScanned
4,importStationByDistributer,delayReturnPackageReason
4,assignCodPicking,editPackage
4,changeCustomerLastAddress,changeCustomerFirstAddress
4,shopSigningHandover,shopSigningHandover
4,ArrivePickingPoint,updatePickWorkShiftPackage
4,distributorCfmDeliver,TakeAPhotoDeliveryPhotos
4,changeAlias,approvedPackage
4,privateNotePackage,updateReturnedByCod
4,RefundBill,cfmTransit
4,printfPackage,confirmTmpReturnedPackageStatus
4,Prepayment_qrBill,cfmImpPkgFrPONew
4,cfmImpPkgFrPONew,printfPackage
4,distributorCfmDeliver,DteamTakeAPhotoDeliver
4,putInBox,NVBCTakeAPhotoDelivery
4,assignCodPicking,updateNotPickedByCod
4,editPackage,ArriveDeliveringPoint
4,confirmTmpPickedPackageStatus,scanBox
4,scanPackageCreateBagB2C,putPackages2Bag
4,confirmTmpDelayReturningPackageStatus,importStationByDistributer
4,confirmTmpDeliveredPackageStatus,ScanPackageToBag
4,changeTransferStationByChangeCart,approvedPackage
4,printfPackage,updatePickedByCod
4,distributorCfmDeliver,NVBCTakeAPhotoDelivery
4,changePackageStatus,changeAlias
4,verifySessionPackage,saveSealForSpecialPackage
4,delayReturnPackageReason,smartScaleScanningPackage
4,updateDeliverCod,BlurredBarcode
4,updateDelayPickingByCod,verifySessionPackage
4,editPackage,changeCustomerFirstAddress
4,assignCodPicking,updateDelayReturningByCod
4,changeTrfSorting,verifySessionPackage
4,assignBagWithIdentifyBag,confirmTmpReturnedPackageStatus
